mrna_id	n_lncRNAs
LOC111123859	1400
LOC111134604	1400
LOC111136039	1399
LOC111100586	1398
LOC111101170	1398
LOC111106019	1397
LOC111120020	1397
LOC111106665	1396
LOC111123440	1394
LOC111108204	1393
LOC111110884	1392
LOC111114361	1392
LOC111122130	1392
LOC111134678	1392
LOC111136638	1392
LOC111107804	1391
LOC111114937	1391
LOC111118373	1390
LOC111120665	1390
LOC111099917	1388
LOC111104147	1388
LOC111109067	1388
LOC111116333	1388
LOC111118861	1388
LOC111124055	1388
LOC111129820	1388
LOC111134562	1388
LOC111131377	1387
LOC111107995	1386
LOC111111606	1384
LOC111102821	1383
LOC111119780	1383
LOC111127024	1383
LOC111130384	1383
LOC111132826	1383
LOC111133607	1383
LOC111135173	1383
LOC111101951	1382
LOC111102476	1382
LOC111109044	1382
LOC111109258	1382
LOC111122939	1382
LOC111123374	1382
LOC111123969	1382
LOC111133367	1382
LOC111109146	1381
LOC111113572	1381
LOC111119123	1381
LOC111131279	1381
LOC111132891	1381
LOC111135411	1381
LOC111138390	1381
LOC111108039	1380
LOC111124428	1379
LOC111125350	1379
LOC111127161	1379
LOC111129360	1378
LOC111136077	1378
LOC111129693	1377
LOC111126163	1376
LOC111133657	1376
LOC111129309	1375
LOC111104317	1374
LOC111107740	1374
LOC111131125	1374
LOC111101634	1371
LOC111112582	1371
LOC111132595	1371
LOC111109354	1370
LOC111119850	1370
LOC111106235	1369
LOC111102082	1368
LOC111106891	1368
LOC111125762	1368
LOC111126226	1368
LOC111133302	1368
LOC111112116	1367
LOC111112803	1367
LOC111120346	1367
LOC111134146	1367
ATP6	1365
LOC111103502	1365
LOC111109159	1365
LOC111114568	1365
LOC111107554	1364
LOC111118729	1364
LOC111119217	1364
LOC111136440	1364
LOC111124133	1363
LOC111099969	1362
LOC111120702	1362
LOC111124111	1362
LOC111127841	1362
LOC111134947	1362
LOC111101736	1361
LOC111116449	1361
LOC111121835	1361
LOC111123989	1361
LOC111124929	1361
LOC111125773	1361
LOC111128282	1361
LOC111128951	1361
LOC111137294	1361
LOC111100630	1360
LOC111100985	1360
LOC111108187	1360
LOC111111398	1360
LOC111122860	1360
LOC111124059	1360
LOC111136938	1360
LOC111100158	1359
LOC111103885	1359
LOC111103570	1358
LOC111126056	1358
LOC111127026	1358
LOC111123982	1357
LOC111100423	1356
LOC111125150	1356
LOC111131007	1356
LOC111124375	1355
LOC111129699	1355
LOC111136907	1355
LOC111108064	1354
LOC111112790	1354
LOC111125574	1354
LOC111112436	1353
LOC111123708	1353
LOC111123709	1353
LOC111114779	1352
LOC111116710	1352
LOC111120380	1352
LOC111120490	1352
LOC111130961	1352
LOC111131322	1352
LOC111106178	1351
LOC111106215	1351
LOC111109391	1351
LOC111132226	1351
LOC111100167	1350
LOC111111285	1350
LOC111122251	1350
LOC111125142	1350
LOC111126182	1348
LOC111101659	1347
LOC111108489	1346
LOC111126186	1346
LOC111100901	1345
LOC111106632	1345
LOC111106741	1344
LOC111123211	1344
LOC111126558	1344
LOC111103821	1343
LOC111125940	1343
LOC111120603	1342
LOC111122102	1342
LOC111123703	1342
LOC111109065	1341
LOC111109257	1341
LOC111110178	1341
LOC111111074	1341
LOC111123492	1341
LOC111125384	1341
LOC111129559	1341
LOC111114037	1340
LOC111120394	1340
LOC111117149	1339
LOC111120512	1339
LOC111101914	1337
LOC111119302	1337
LOC111135072	1337
LOC111121840	1336
LOC111129478	1336
LOC111103882	1335
LOC111112846	1335
LOC111114158	1335
LOC111120658	1335
LOC111125461	1335
LOC111125275	1334
LOC111130142	1334
LOC111131491	1334
LOC111136849	1334
LOC111137776	1334
ND5	1334
LOC111113934	1333
LOC111128355	1332
LOC111135878	1332
LOC111136981	1332
ND6	1332
LOC111108093	1331
LOC111122502	1331
LOC111137483	1331
LOC111107933	1329
LOC111113270	1329
LOC111115259	1329
LOC111122301	1329
LOC111135820	1329
LOC111128699	1328
LOC111133281	1328
LOC111136085	1328
LOC111136279	1328
LOC111138510	1328
ND2	1328
COX2	1327
LOC111102992	1327
LOC111108285	1327
LOC111108521	1327
LOC111116098	1327
LOC111124609	1327
LOC111125644	1327
LOC111130431	1327
LOC111136337	1327
LOC111138336	1327
LOC111137680	1326
CYTB	1325
LOC111118188	1325
LOC111119650	1325
LOC111120526	1325
LOC111120661	1325
LOC111125982	1325
LOC111135167	1325
LOC111135231	1325
LOC111106614	1324
LOC111107407	1324
LOC111113174	1324
LOC111119774	1324
LOC111124427	1324
LOC111135901	1324
LOC111127912	1323
LOC111112867	1322
LOC111124307	1321
LOC111135380	1321
LOC111135948	1321
LOC111136560	1321
LOC111105133	1320
LOC111114142	1320
LOC111102060	1319
LOC111106637	1319
LOC111119298	1319
LOC111132423	1319
LOC111114941	1318
LOC111121515	1318
LOC111124239	1318
LOC111109211	1317
LOC111121837	1317
LOC111113421	1316
LOC111129431	1316
LOC111132502	1316
LOC111135552	1316
LOC111124635	1315
LOC111100665	1314
LOC111105060	1314
LOC111127563	1314
LOC111134629	1314
LOC111125507	1313
LOC111135006	1313
LOC111099461	1312
LOC111105168	1312
LOC111119090	1312
LOC111124015	1312
LOC111129089	1312
LOC111129841	1312
LOC111104867	1311
LOC111118935	1311
LOC111116490	1310
LOC111120648	1309
LOC111122652	1309
LOC111134015	1309
LOC111111442	1308
LOC111118182	1308
LOC111133428	1308
ND4L	1308
LOC111108423	1306
LOC111125193	1306
LOC111131447	1306
LOC111107488	1305
LOC111113931	1305
LOC111103890	1304
LOC111127110	1304
LOC111135004	1304
LOC111110604	1303
LOC111120965	1303
COX1	1302
LOC111103377	1302
LOC111113941	1302
LOC111129692	1302
LOC111133751	1302
LOC111134198	1302
LOC111136105	1302
LOC111136861	1302
LOC111120984	1301
LOC111112730	1300
LOC111117586	1300
LOC111118921	1300
LOC111130850	1300
LOC111130852	1300
LOC111100132	1299
LOC111101941	1299
LOC111106649	1299
LOC111108982	1299
LOC111114588	1299
LOC111114627	1299
LOC111118611	1299
LOC111121934	1299
LOC111129837	1299
LOC111130212	1299
LOC111109677	1298
LOC111128999	1298
LOC111130138	1298
LOC111100740	1297
LOC111123003	1297
LOC111105429	1296
LOC111109066	1296
LOC111120999	1296
LOC111122884	1296
LOC111127996	1296
LOC111129259	1296
LOC111103250	1295
LOC111111315	1295
LOC111122665	1295
LOC111130684	1295
LOC111135183	1295
LOC111135437	1295
LOC111135600	1295
LOC111136715	1295
LOC111107555	1294
LOC111124875	1294
LOC111125560	1294
LOC111131418	1294
LOC111130858	1293
LOC111135361	1293
LOC111137770	1293
LOC111112625	1292
LOC111136924	1292
ND4	1292
LOC111111306	1291
LOC111113171	1291
LOC111115523	1291
LOC111135178	1291
LOC111135208	1291
LOC111137900	1291
LOC111138499	1291
LOC111114599	1290
LOC111136118	1290
LOC111126083	1289
LOC111127188	1289
LOC111119270	1288
LOC111124991	1288
LOC111126369	1288
LOC111138191	1288
LOC111100193	1287
LOC111101924	1287
LOC111106317	1287
LOC111109149	1287
LOC111118876	1287
LOC111131028	1287
LOC111118183	1286
LOC111119254	1286
LOC111128209	1286
LOC111136284	1286
LOC111137634	1286
LOC111124078	1285
LOC111138014	1285
LOC111110677	1284
LOC111119153	1284
LOC111129006	1284
LOC111129998	1284
LOC111130267	1284
LOC111132646	1284
LOC111119190	1283
LOC111120238	1283
LOC111131153	1283
LOC111131555	1283
LOC111133503	1283
LOC111134375	1283
LOC111135673	1283
LOC111125850	1282
LOC111128175	1281
LOC111134746	1280
LOC111111502	1279
LOC111126562	1279
LOC111127048	1279
LOC111128115	1279
LOC111104275	1278
LOC111120878	1278
LOC111132362	1278
LOC111120644	1277
LOC111100218	1276
LOC111107976	1276
LOC111108117	1276
LOC111120517	1276
LOC111124854	1276
LOC111129831	1276
LOC111133127	1276
LOC111133546	1276
LOC111109107	1275
LOC111125408	1275
LOC111129631	1275
LOC111134713	1275
LOC111113898	1274
LOC111136015	1274
LOC111100755	1273
LOC111103671	1273
LOC111109733	1273
LOC111119239	1273
LOC111119697	1273
LOC111126492	1273
LOC111133772	1273
ND1	1273
LOC111100994	1272
LOC111104366	1272
LOC111106540	1272
LOC111108729	1271
LOC111118586	1271
LOC111121854	1271
LOC111132126	1271
LOC111136148	1271
LOC111136666	1271
LOC111099557	1270
LOC111108571	1270
LOC111124553	1270
LOC111128421	1270
LOC111132294	1270
LOC111136413	1270
LOC111137588	1270
LOC111107466	1269
LOC111109755	1269
LOC111112966	1269
LOC111119195	1269
LOC111120566	1269
LOC111134024	1269
LOC111104134	1268
LOC111108397	1268
LOC111112529	1268
LOC111127605	1268
LOC111129496	1268
LOC111134690	1268
LOC111116294	1267
LOC111112416	1266
LOC111125760	1266
LOC111135325	1266
LOC111135345	1266
LOC111108038	1265
LOC111123682	1265
LOC111127405	1265
LOC111112810	1264
LOC111121583	1264
LOC111134911	1264
LOC111137953	1264
LOC111138363	1264
LOC111126659	1263
LOC111128865	1263
LOC111133418	1262
LOC111136764	1262
LOC111109308	1260
LOC111116348	1260
LOC111123127	1260
LOC111129197	1260
LOC111134890	1260
LOC111137633	1260
LOC111100148	1259
LOC111113664	1259
LOC111120874	1259
LOC111127229	1259
LOC111137379	1259
LOC111132195	1258
LOC111133022	1258
LOC111136896	1258
LOC111108540	1257
LOC111121024	1257
LOC111135550	1256
LOC111136642	1256
LOC111137105	1256
LOC111138458	1256
LOC111100237	1255
LOC111119326	1255
LOC111122853	1255
LOC111118510	1254
LOC111123992	1254
LOC111134940	1254
LOC111100691	1253
LOC111105423	1252
LOC111119770	1252
LOC111122600	1252
LOC111135586	1252
LOC111125503	1251
LOC111132472	1251
LOC111132611	1251
LOC111118283	1250
LOC111118539	1250
LOC111128992	1250
LOC111108127	1249
LOC111119100	1249
LOC111133637	1249
LOC111134787	1249
LOC111135594	1249
LOC111125779	1248
LOC111126440	1248
LOC111118004	1247
LOC111118274	1247
LOC111119594	1247
LOC111123119	1247
LOC111100930	1246
LOC111105212	1246
LOC111114598	1246
LOC111131740	1246
LOC111134561	1246
LOC111099928	1245
LOC111120101	1245
LOC111121745	1245
LOC111100796	1244
LOC111101970	1244
LOC111119669	1244
LOC111136714	1244
LOC111101236	1243
LOC111110297	1243
LOC111110816	1243
LOC111135192	1243
LOC111136305	1243
LOC111113840	1242
LOC111116196	1242
LOC111119169	1242
LOC111122215	1242
LOC111123451	1242
LOC111125073	1242
LOC111125368	1242
LOC111126293	1242
LOC111135054	1242
LOC111135154	1242
LOC111120879	1241
LOC111120912	1241
LOC111121578	1241
LOC111128159	1241
LOC111136010	1241
LOC111106351	1240
LOC111107777	1240
LOC111111618	1240
LOC111116971	1240
LOC111122313	1240
LOC111104765	1239
LOC111119586	1239
LOC111132902	1239
LOC111136762	1239
LOC111134471	1238
LOC111137969	1238
LOC111108560	1237
LOC111120137	1237
LOC111128800	1237
LOC111134422	1237
LOC111138001	1237
LOC111138235	1237
LOC111105526	1236
LOC111107013	1236
LOC111118054	1236
LOC111126498	1236
LOC111134153	1236
LOC111134304	1236
LOC111137835	1236
ND3	1236
LOC111119920	1235
LOC111123034	1235
LOC111128573	1235
LOC111129283	1235
LOC111130534	1235
LOC111137108	1235
LOC111109195	1234
LOC111118810	1234
LOC111120135	1234
LOC111120710	1233
LOC111136624	1233
LOC111118801	1232
LOC111121654	1232
COX3	1231
LOC111133413	1231
LOC111119249	1230
LOC111119773	1230
LOC111125145	1230
LOC111126064	1230
LOC111101799	1229
LOC111102673	1229
LOC111122164	1229
LOC111122942	1229
LOC111111672	1228
LOC111120568	1228
LOC111126292	1228
LOC111126771	1228
LOC111129953	1228
LOC111103227	1227
LOC111111556	1227
LOC111114936	1227
LOC111125144	1227
LOC111136320	1227
LOC111126614	1226
LOC111136783	1226
LOC111109063	1225
LOC111112251	1225
LOC111116995	1225
LOC111129479	1225
LOC111130835	1225
LOC111135859	1225
LOC111099458	1224
LOC111107695	1224
LOC111108192	1224
LOC111119817	1224
LOC111133682	1224
LOC111133899	1224
LOC111135567	1224
LOC111136599	1224
LOC111125594	1223
LOC111118194	1222
LOC111122747	1222
LOC111126120	1222
LOC111100381	1221
LOC111101650	1221
LOC111125367	1221
LOC111126040	1221
LOC111126244	1221
LOC111132031	1221
LOC111137903	1221
LOC111120596	1220
LOC111122213	1220
LOC111135732	1220
LOC111111360	1219
LOC111137806	1219
LOC111100689	1218
LOC111104873	1218
LOC111107563	1218
LOC111107980	1218
LOC111108862	1218
LOC111119118	1218
LOC111124378	1218
LOC111132900	1218
LOC111135061	1218
LOC111114587	1217
LOC111124167	1217
LOC111129494	1217
LOC111136701	1217
LOC111107656	1216
LOC111119174	1216
LOC111124345	1216
LOC111125405	1216
LOC111128597	1216
LOC111137405	1216
LOC111106692	1215
LOC111114383	1215
LOC111125581	1215
LOC111134073	1215
LOC111134598	1215
LOC111101507	1214
LOC111118920	1214
LOC111119346	1214
LOC111123623	1214
LOC111124987	1214
LOC111130521	1214
LOC111134501	1214
LOC111136522	1214
LOC111100786	1213
LOC111107747	1213
LOC111112950	1213
LOC111124589	1213
LOC111099722	1212
LOC111109803	1212
LOC111112845	1212
LOC111113217	1212
LOC111128063	1212
LOC111129604	1212
LOC111138197	1212
LOC111108737	1211
LOC111112956	1211
LOC111124717	1211
LOC111135311	1211
LOC111135362	1211
LOC111112583	1210
LOC111122406	1210
LOC111125990	1210
LOC111126885	1210
LOC111128754	1210
LOC111113246	1209
LOC111121652	1209
LOC111126386	1209
LOC111127468	1209
LOC111130079	1209
LOC111130439	1209
LOC111133398	1209
LOC111138187	1209
LOC111100085	1208
LOC111120341	1208
LOC111125107	1208
LOC111125552	1208
LOC111129840	1208
LOC111110214	1207
LOC111118263	1207
LOC111125296	1207
LOC111133143	1207
LOC111137570	1207
LOC111101931	1206
LOC111119382	1206
LOC111136729	1206
LOC111120525	1205
LOC111120587	1205
LOC111121338	1205
LOC111131486	1205
LOC111132715	1205
LOC111099610	1204
LOC111119321	1204
LOC111120067	1204
LOC111122210	1204
LOC111127833	1204
LOC111125072	1203
LOC111138357	1203
LOC111102031	1202
LOC111102906	1202
LOC111119168	1202
LOC111121087	1202
LOC111122270	1202
LOC111130587	1202
LOC111134654	1202
LOC111100378	1201
LOC111107170	1201
LOC111116085	1201
LOC111118567	1201
LOC111123818	1201
LOC111124552	1201
LOC111134148	1201
LOC111102132	1200
LOC111108138	1200
LOC111117675	1200
LOC111129125	1200
LOC111135606	1200
LOC111099655	1199
LOC111133985	1199
LOC111110879	1198
LOC111119616	1198
LOC111121504	1198
LOC111123753	1198
LOC111125445	1198
LOC111128113	1198
LOC111128581	1198
LOC111132368	1198
LOC111135615	1198
LOC111102962	1197
LOC111120873	1197
LOC111122964	1197
LOC111135590	1197
LOC111136228	1197
LOC111099053	1196
LOC111128988	1196
LOC111130274	1196
LOC111137228	1196
LOC111138280	1196
LOC111103542	1195
LOC111129853	1195
LOC111131148	1195
LOC111108932	1194
LOC111114139	1194
LOC111117217	1194
LOC111118917	1194
LOC111119372	1194
LOC111123836	1194
LOC111123934	1194
LOC111126438	1194
LOC111129615	1194
LOC111134720	1194
LOC111134814	1194
LOC111137631	1194
LOC111115377	1193
LOC111136020	1193
LOC111128849	1192
LOC111130990	1192
LOC111134108	1192
LOC111109993	1191
LOC111125831	1191
LOC111129410	1191
LOC111132965	1191
LOC111135618	1191
LOC111125342	1190
LOC111135058	1190
LOC111137095	1190
LOC111114683	1189
LOC111134500	1189
LOC111108356	1188
LOC111112761	1188
LOC111119917	1188
LOC111100355	1187
LOC111109509	1187
LOC111118248	1187
LOC111125457	1187
LOC111135109	1187
LOC111103872	1186
LOC111130248	1186
LOC111132541	1186
LOC111136627	1186
LOC111100168	1185
LOC111100308	1185
LOC111107084	1185
LOC111114425	1185
LOC111117959	1185
LOC111119642	1185
LOC111134043	1184
LOC111107127	1183
LOC111120649	1183
LOC111134475	1183
LOC111134511	1183
LOC111136313	1183
LOC111136425	1183
LOC111106577	1182
LOC111107795	1182
LOC111102101	1181
LOC111115122	1181
LOC111128009	1181
LOC111130625	1181
LOC111130641	1181
LOC111113272	1180
LOC111123760	1180
LOC111130699	1180
LOC111137710	1180
LOC111130083	1179
LOC111102659	1178
LOC111108533	1178
LOC111114381	1178
LOC111128251	1178
LOC111134995	1178
LOC111104966	1177
LOC111105880	1177
LOC111122134	1177
LOC111126109	1177
LOC111133642	1177
LOC111137772	1177
LOC111138493	1177
LOC111111831	1176
LOC111121908	1176
LOC111132798	1176
LOC111100598	1175
LOC111118126	1175
LOC111125836	1175
LOC111127294	1175
LOC111115995	1173
LOC111117964	1173
LOC111134660	1173
LOC111122603	1172
LOC111130266	1172
LOC111136967	1171
LOC111137297	1171
LOC111108510	1170
LOC111109116	1170
LOC111124480	1170
LOC111125315	1170
LOC111133550	1170
LOC111100756	1169
LOC111101025	1169
LOC111103812	1169
LOC111104588	1169
LOC111125710	1169
LOC111127613	1169
LOC111131784	1169
LOC111136504	1169
LOC111100874	1168
LOC111101860	1168
LOC111126128	1167
LOC111129007	1167
LOC111131706	1167
LOC111114634	1166
LOC111124595	1166
LOC111128942	1166
LOC111130549	1166
LOC111135169	1166
LOC111137932	1166
LOC111119699	1165
LOC111103713	1164
LOC111127289	1164
LOC111138489	1164
LOC111122176	1163
LOC111129239	1163
LOC111101359	1162
LOC111107301	1162
LOC111118971	1162
LOC111119597	1162
LOC111134509	1162
LOC111135726	1162
LOC111127708	1161
LOC111128662	1161
LOC111129024	1161
LOC111132099	1161
LOC111135686	1161
LOC111100522	1160
LOC111106468	1160
LOC111122996	1160
LOC111124669	1160
LOC111102792	1159
LOC111108450	1159
LOC111109639	1159
LOC111112762	1159
LOC111117818	1159
LOC111121196	1159
LOC111131214	1159
LOC111132514	1159
LOC111138137	1159
LOC111119478	1158
LOC111099982	1157
LOC111109277	1157
LOC111109510	1157
LOC111117657	1157
LOC111122049	1157
LOC111126213	1157
LOC111136548	1157
LOC111114706	1156
LOC111118382	1156
LOC111121593	1156
LOC111102003	1155
LOC111123802	1155
LOC111134242	1155
LOC111100585	1154
LOC111102051	1154
LOC111113194	1154
LOC111120498	1154
LOC111126883	1154
LOC111124478	1153
LOC111125240	1153
LOC111126647	1153
LOC111107879	1152
LOC111121205	1152
LOC111125499	1152
LOC111100860	1151
LOC111101527	1151
LOC111120662	1151
LOC111118962	1150
LOC111119987	1150
LOC111121384	1150
LOC111122814	1150
LOC111128978	1150
LOC111116443	1149
LOC111117972	1149
LOC111119461	1149
LOC111119637	1149
LOC111120548	1149
LOC111131806	1149
LOC111101447	1148
LOC111101751	1148
LOC111136621	1148
LOC111104330	1147
LOC111105161	1147
LOC111118106	1147
LOC111125498	1147
LOC111131730	1147
LOC111132217	1147
LOC111135399	1147
LOC111099544	1146
LOC111123867	1146
LOC111132138	1146
LOC111135880	1146
LOC111113181	1145
LOC111116401	1145
LOC111130464	1145
LOC111124456	1144
LOC111121743	1143
LOC111125822	1143
LOC111129002	1143
LOC111100668	1142
LOC111113968	1142
LOC111137841	1142
LOC111129603	1141
LOC111130416	1141
LOC111123124	1140
LOC111126055	1140
LOC111135975	1139
LOC111102811	1138
LOC111125750	1138
LOC111129629	1138
LOC111134305	1138
LOC111112807	1137
LOC111113446	1137
LOC111122550	1137
LOC111123786	1137
LOC111124793	1137
LOC111100425	1136
LOC111114721	1136
LOC111120557	1136
LOC111127274	1136
LOC111128966	1136
LOC111129161	1136
LOC111131783	1136
LOC111107343	1135
LOC111113918	1135
LOC111125785	1135
LOC111135964	1135
LOC111136989	1135
LOC111137591	1135
LOC111120482	1134
LOC111124749	1134
LOC111134970	1134
LOC111124939	1133
LOC111125387	1133
LOC111127973	1133
LOC111136254	1133
LOC111105000	1132
LOC111106467	1132
LOC111109271	1132
LOC111119517	1132
LOC111126499	1132
LOC111129719	1132
LOC111131560	1132
LOC111125452	1131
LOC111126790	1131
LOC111116089	1130
LOC111126579	1130
LOC111129286	1130
LOC111133043	1130
LOC111118273	1129
LOC111118300	1129
LOC111119101	1129
LOC111127380	1129
LOC111110541	1128
LOC111135375	1128
LOC111120628	1127
LOC111137338	1127
LOC111112559	1126
LOC111114067	1125
LOC111116839	1125
LOC111136810	1125
LOC111137051	1125
LOC111116911	1124
LOC111118916	1124
LOC111123735	1124
LOC111124874	1124
LOC111125747	1124
LOC111104344	1123
LOC111112464	1122
LOC111124583	1122
LOC111131498	1122
LOC111135476	1122
LOC111136820	1122
LOC111115659	1121
LOC111125814	1121
LOC111132903	1121
LOC111135796	1121
LOC111137273	1121
LOC111111050	1120
LOC111114932	1120
LOC111115745	1120
LOC111125546	1120
LOC111129356	1120
LOC111138180	1120
LOC111102459	1119
LOC111103603	1119
LOC111109201	1119
LOC111109256	1119
LOC111117013	1119
LOC111118745	1119
LOC111105063	1118
LOC111118731	1118
LOC111124762	1118
LOC111128939	1118
LOC111135297	1118
LOC111102414	1117
LOC111118083	1117
LOC111123994	1117
LOC111124521	1117
LOC111125572	1117
LOC111137235	1117
LOC111119023	1116
LOC111125967	1116
LOC111127225	1116
LOC111129928	1116
LOC111130191	1116
LOC111134434	1116
LOC111136812	1116
LOC111110791	1115
LOC111111437	1115
LOC111125636	1115
LOC111106506	1114
LOC111122819	1114
LOC111130333	1114
LOC111135895	1114
LOC111119636	1113
LOC111124755	1113
LOC111125014	1113
LOC111130822	1113
LOC111135356	1113
LOC111137089	1113
LOC111118215	1112
LOC111121848	1112
LOC111125206	1112
LOC111131102	1112
LOC111136082	1112
LOC111099483	1111
LOC111103325	1111
LOC111119059	1111
LOC111119685	1111
LOC111119826	1111
LOC111132147	1111
LOC111103975	1110
LOC111120699	1110
LOC111113872	1109
LOC111128841	1109
LOC111131136	1109
LOC111105688	1108
LOC111124772	1108
LOC111125533	1108
LOC111130817	1108
LOC111135319	1108
LOC111134252	1107
LOC111111438	1106
LOC111130726	1106
LOC111131063	1106
LOC111112439	1105
LOC111124261	1105
LOC111128719	1105
LOC111131116	1105
LOC111136247	1105
LOC111118147	1104
LOC111130381	1104
LOC111100708	1103
LOC111102932	1102
LOC111120968	1102
LOC111103226	1101
LOC111117138	1101
LOC111123066	1101
LOC111125827	1101
LOC111117922	1100
LOC111125119	1100
LOC111128580	1100
LOC111130296	1100
LOC111130646	1100
LOC111100500	1099
LOC111105693	1099
LOC111124129	1099
LOC111126639	1099
LOC111119569	1098
LOC111121922	1098
LOC111129915	1098
LOC111130617	1098
LOC111134993	1098
LOC111137617	1098
LOC111102219	1097
LOC111112550	1097
LOC111125716	1097
LOC111123751	1096
LOC111123896	1096
LOC111124193	1096
LOC111128116	1096
LOC111133898	1096
LOC111105207	1095
LOC111119408	1095
LOC111124361	1095
LOC111125987	1095
LOC111128591	1095
LOC111130183	1095
LOC111130886	1095
LOC111133160	1095
LOC111102562	1094
LOC111124673	1094
LOC111127385	1094
LOC111132467	1094
LOC111099741	1093
LOC111100898	1093
LOC111108359	1093
LOC111130023	1093
LOC111132974	1093
LOC111137407	1093
LOC111107923	1092
LOC111109010	1092
LOC111117369	1092
LOC111113158	1091
LOC111120783	1091
LOC111129872	1091
LOC111131752	1091
LOC111100835	1090
LOC111101116	1090
LOC111111520	1089
LOC111130295	1089
LOC111135641	1089
LOC111119682	1088
LOC111121441	1088
LOC111126390	1088
LOC111126953	1088
LOC111130935	1088
LOC111137975	1088
LOC111100325	1087
LOC111115445	1087
LOC111119633	1087
LOC111133569	1087
LOC111108296	1086
LOC111120589	1086
LOC111100896	1085
LOC111109466	1085
LOC111118348	1085
LOC111123996	1085
LOC111109461	1084
LOC111120559	1084
LOC111134732	1084
LOC111138176	1084
LOC111121997	1083
LOC111122796	1083
LOC111134978	1083
LOC111104128	1082
LOC111106517	1082
LOC111120737	1082
